Work Order Number,Status,Status Text,Category Code,Category Text,Division,Division Text,Department,Department Text,Priority,Priority Text,Total Cost,Quantity,Actual Labor Hours,Actual Labor Cost,Actual Equip Cost,Actual Material Cost,Contractor Cost,Misc. Cost,Creation Date,Status Date,Start Date,End Date,Duration Actual(Hrs),Billing Required,Main Task,Main Task Text,Cause,Cause Text,Problem,Problem Text,Desc 1,Desc 2,Asset,Assigned Crew,Assigned Crew Text,Supervisor,LeadWorker Id,Street Address,Street Direction,Street Name,Street Type,Loc Zip Code,Street 2 Direction,Street 2 Name,Street 2 Type,Project Number,Building Number,Facility Location,Route (Geographic),Route (Geographic) Text,PM Trigger,PM Trigger Text
19-000003,999,Complete,STMOT,Streets Other Tasks,OPST,Streets,,,,,384.87,0,11,384.87,0,0,0,0,1/2/2019 0:00,1/3/2019 0:00,1/2/2019 0:00,1/2/2019 0:00,0,FALSE,ST24,Equipment Maintenance,,,,,,,,,,,,,,,,,,,,,,,10,Campus,,
18-002205,999,Complete,STM60,Streets,OPST,Streets,STR,Streets,,,1954.56,0,32,907.52,837.04,210,0,0,12/28/2018 0:00,12/28/2018 0:00,12/21/2018 0:00,12/21/2018 0:00,0,FALSE,ST13,Pothole Patching,STC1,Systematic Maintenance,STP1,Normal Pavement Age & Wear Deterioration,,,,,,,,,,,,,,,,,,,8,Central Business District,,
19-000238,999,Complete,STWW,Winter Weather,OPST,Streets,,,,,2852.1,0,16,775,670.24,1406.86,0,0,2/8/2019 0:00,2/8/2019 0:00,1/17/2019 0:00,1/17/2019 0:00,0,FALSE,ST36,Salting Streets,STC9,Winter Event Snow,STP26,Winter Weather Response,,,,EE Crew,Emergency Crew,,,,,,,,,,,,,,1,City Wide,,
19-000213,999,Complete,STWW,Winter Weather,OPST,Streets,,,,,5280.76,0,40,1657.2,1675.6,1947.96,0,0,2/7/2019 0:00,2/7/2019 0:00,11/12/2018 0:00,11/12/2018 0:00,0,FALSE,ST36,Salting Streets,STC9,Winter Event Snow,STP26,Winter Weather Response,,,,EE Crew,Emergency Crew,,,,,,,,,,,,,,1,City Wide,,
19-000230,999,Complete,STWW,Winter Weather,OPST,Streets,,,,,63732.9,0,564,26091.86,20520.68,17120.36,0,0,2/8/2019 0:00,2/8/2019 0:00,1/11/2019 0:00,1/13/2019 0:00,16,FALSE,ST37,Plowing and Salting Streets,STC9,Winter Event Snow,STP26,Winter Weather Response,,,,EE Crew,Emergency Crew,,,,,,,,,,,,,,1,City Wide,,
19-000214,999,Complete,STWW,Winter Weather,OPST,Streets,,,,,19994.1,0,158,5891.03,6690,7413.07,0,0,2/7/2019 0:00,2/7/2019 0:00,11/15/2018 0:00,11/15/2018 0:00,0,FALSE,ST37,Plowing and Salting Streets,STC9,Winter Event Snow,STP26,Winter Weather Response,,,,EE Crew,Emergency Crew,,,,,,,,,,,,,,1,City Wide,,
18-000160,999,Complete,STTCON,Controllers,OPSTT,Traffic,STT,Traffic,,,211.79,0,3.5,166.53,45.26,0,0,0,6/28/2018 0:00,12/14/2018 0:00,6/28/2018 0:00,6/28/2018 0:00,0,FALSE,STT25,Record Keeping,STTC1,Systematic Maintenance,STTP30,Check/Inspect Operation,,Lincoln@Fairview,TRAFFICTROLLER1,,,1,,,,Lincoln@Fairview,,,,Fairview,,,,,1,City Wide,,
19-000173,999,Complete,STMOT,Streets Other Tasks,OPST,Streets,STR,Streets,,,5749.79,0,140,3970.39,1779.4,0,0,0,2/5/2019 0:00,2/5/2019 0:00,1/7/2019 0:00,1/11/2019 0:00,32,FALSE,ST31,Debris Removal,,,,,,,,,,,,,,,,,,,,,,,1,City Wide,,
18-002202,999,Complete,STM60,Streets,OPST,Streets,STR,Streets,,,1341.72,0,24,671.8,459.92,210,0,0,12/28/2018 0:00,12/28/2018 0:00,12/20/2018 0:00,12/20/2018 0:00,0,FALSE,ST13,Pothole Patching,STC1,Systematic Maintenance,STP1,Normal Pavement Age & Wear Deterioration,,,,,,,,,,,,,,,,,,,5,Primary 4,,
19-001189,999,Complete,ARBFRT,Trees,FRT,Forestry,FOR,Forestry,2,Medium,1536.27,2,26,873.42,554.85,108,0,0,8/6/2019 0:00,8/6/2019 0:00,7/10/2019 0:00,7/10/2019 0:00,0,TRUE,FORT20,Tree Removal,,,FORT60,Storm Damage,,2409  Vine St S,TREESITES10760,,,,,210,E,McHenry,St,,,,,,,,12,Residential 1,,
19-001190,999,Complete,ARBFRT,Trees,FRT,Forestry,FOR,Forestry,2,Medium,1583.87,1,21,717.08,776.79,90,0,0,8/6/2019 0:00,8/6/2019 0:00,7/12/2019 0:00,7/12/2019 0:00,0,TRUE,FORT20,Tree Removal,,,FORT60,Storm Damage,,902  Shurts St,TREESITES12590,,,,,704,,Shurts,St,,,,,20190526,,,12,Residential 1,,
19-001198,999,Complete,ARBFRT,Trees,FRT,Forestry,FOR,Forestry,2,Medium,1702.73,1,19.5,873.42,721.31,108,0,0,8/7/2019 0:00,8/7/2019 0:00,8/1/2019 0:00,8/1/2019 0:00,0,TRUE,FORT20,Tree Removal,,,FORT60,Storm Damage,,2201  Vawter St,TREESITES12985,,,,,1106,,Scovill,St,,,,,20190526,,,12,Residential 1,,
19-001183,999,Complete,ARBFRT,Trees,FRT,Forestry,FOR,Forestry,2,Medium,1897.38,4,28,940.59,776.79,180,0,0,8/6/2019 0:00,8/6/2019 0:00,6/24/2019 0:00,6/24/2019 0:00,0,TRUE,FORT20,Tree Removal,,,FORT60,Storm Damage,,108  Holmes St W,TREESITES13775,,,,,107,W,Holmes,St,,,,,20190526,,,12,Residential 1,,
19-001201,999,Complete,ARBFRT,Trees,FRT,Forestry,FOR,Forestry,2,Medium,1702.73,2,26,873.42,721.31,108,0,0,8/7/2019 0:00,8/7/2019 0:00,8/5/2019 0:00,8/5/2019 0:00,0,TRUE,FORT20,Tree Removal,,,FORT60,Storm Damage,,113  Whitehall Ct,TREESITES3201,,,,,404,,Willard,St,,,,,20190526,,,12,Residential 1,,
19-001188,999,Complete,ARBFRT,Trees,FRT,Forestry,FOR,Forestry,2,Medium,1008.36,1,16,537.48,443.88,27,0,0,8/6/2019 0:00,8/6/2019 0:00,6/19/2019 0:00,6/19/2019 0:00,0,TRUE,FORT20,Tree Removal,,,FORT60,Storm Damage,,803  Shurts St,TREESITES3713,,,,,2310,,Shurts,Cir,,,,,20190526,,,12,Residential 1,,
19-001173,999,Complete,ARBFRT,Trees,FRT,Forestry,FOR,Forestry,1,High,238.15,1,2,94.22,116.93,27,0,0,8/5/2019 0:00,8/5/2019 0:00,7/30/2019 0:00,8/2/2019 0:00,24,TRUE,FORT18,Stump Removal,,,FORT60,Storm Damage,,2307  Shurts Cir,TREESITES7536,,,,8,2307,,Shurts,Cir,,,,,20190526,,,12,Residential 1,,
19-001182,999,Complete,ARBFRT,Trees,FRT,Forestry,FOR,Forestry,2,Medium,1825.38,7,28,940.59,776.79,108,0,0,8/6/2019 0:00,8/6/2019 0:00,7/22/2019 0:00,7/22/2019 0:00,0,TRUE,FORT20,Tree Removal,,,FORT60,Storm Damage,,411  Brookens Dr,TREESITES918,,,,,2404,,Anderson,St,,,,,20190526,,,12,Residential 1,,
19-000894,999,Complete,ARBFRT,Trees,FRT,Forestry,FOR,Forestry,0,Immediate,3699.17,0,48,1295.85,1758.32,645,0,0,6/20/2019 0:00,8/26/2019 0:00,6/6/2019 0:00,6/6/2019 0:00,0,TRUE,FORT17,Storm damage/cleanup,,,FORT60,Storm Damage,,,,,,,,,,,,,,,,20190526,,,12,Residential 1,,
19-000889,999,Complete,ARBFRT,Trees,FRT,Forestry,FOR,Forestry,0,Immediate,9509.63,0,120,3749.89,4389.74,1370,0,0,6/20/2019 0:00,8/26/2019 0:00,6/5/2019 0:00,6/5/2019 0:00,0,TRUE,FORT17,Storm damage/cleanup,,,FORT60,Storm Damage,,,,,,,,,,,,,,,,20190526,,,12,Residential 1,,
19-000818,999,Complete,ARBFRT,Trees,FRT,Forestry,FOR,Forestry,0,Immediate,13467.3,0,128,3993.38,4691.92,4782,0,0,6/6/2019 0:00,8/26/2019 0:00,6/4/2019 0:00,6/4/2019 0:00,0,TRUE,FORT17,Storm damage/cleanup,,,FORT60,Storm Damage,,,,,,,,,,,,,,,,20190526,,,12,Residential 1,,
19-000817,999,Complete,ARBFRT,Trees,FRT,Forestry,FOR,Forestry,0,Immediate,13049.46,0,112,3805.1,4795.36,4449,0,0,6/6/2019 0:00,8/26/2019 0:00,6/3/2019 0:00,6/3/2019 0:00,0,TRUE,FORT17,Storm damage/cleanup,,,FORT60,Storm Damage,,,,,,,,,,,,,,,,20190526,,,12,Residential 1,,
19-000816,999,Complete,ARBFRT,Trees,FRT,Forestry,FOR,Forestry,0,Immediate,10998.74,0,104,4586.58,4226.16,2186,0,0,6/6/2019 0:00,8/26/2019 0:00,6/1/2019 0:00,6/1/2019 0:00,0,TRUE,FORT17,Storm damage/cleanup,,,FORT60,Storm Damage,,,,,,,,,,,,,,,,20190526,,,12,Residential 1,,
19-000815,999,Complete,ARBFRT,Trees,FRT,Forestry,FOR,Forestry,0,Immediate,11047.4,0,135,3963.32,4492.08,2592,0,0,6/6/2019 0:00,8/26/2019 0:00,5/31/2019 0:00,5/31/2019 0:00,0,TRUE,FORT17,Storm damage/cleanup,,,FORT60,Storm Damage,,,,,,,,,,,,,,,,20190526,,,12,Residential 1,,
19-000814,999,Complete,ARBFRT,Trees,FRT,Forestry,FOR,Forestry,0,Immediate,10566.98,0,142,4111.68,3944.3,2511,0,0,6/6/2019 0:00,8/26/2019 0:00,5/30/2019 0:00,5/30/2019 0:00,0,TRUE,FORT17,Storm damage/cleanup,,,FORT60,Storm Damage,,,,,,,,,,,,,,,,20190526,,,12,Residential 1,,
19-000813,999,Complete,ARBFRT,Trees,FRT,Forestry,FOR,Forestry,0,Immediate,13810.71,0,153,4813.83,5351.88,3645,0,0,6/6/2019 0:00,8/26/2019 0:00,5/29/2019 0:00,7/29/2019 0:00,488,TRUE,FORT17,Storm damage/cleanup,,,FORT60,Storm Damage,,,,,,,,,,,,,,,,20190526,,,12,Residential 1,,
19-000812,999,Complete,ARBFRT,Trees,FRT,Forestry,FOR,Forestry,0,Immediate,10975.25,0,128,4011.49,4290.76,2673,0,0,6/6/2019 0:00,8/26/2019 0:00,5/28/2019 0:00,5/28/2019 0:00,0,TRUE,FORT17,Storm damage/cleanup,,,FORT60,Storm Damage,,,,,,,,,,,,,,,,20190526,,,12,Residential 1,,
19-001192,999,Complete,ARBFRT,Trees,FRT,Forestry,FOR,Forestry,2,Medium,3367.9,0,56,1881.18,1486.72,0,0,0,8/6/2019 0:00,8/6/2019 0:00,7/9/2019 0:00,7/10/2019 0:00,8,TRUE,FORT20,Tree Removal,,,FORT60,Storm Damage,,,,,,,,803,,Shurts,St,,,,,20190526,,,12,Residential 1,,
19-001191,999,Complete,ARBFRT,Trees,FRT,Forestry,FOR,Forestry,2,Medium,1789.38,0,28,940.59,776.79,72,0,0,8/6/2019 0:00,8/6/2019 0:00,7/8/2019 0:00,7/8/2019 0:00,0,TRUE,FORT20,Tree Removal,,,FORT60,Storm Damage,,,,,,,,904,,Shurts,St,,,,,20190526,,,12,Residential 1,,
19-001184,999,Complete,ARBFRT,Trees,FRT,Forestry,FOR,Forestry,2,Medium,450.67,0,5,167.96,138.71,144,0,0,8/6/2019 0:00,8/6/2019 0:00,6/25/2019 0:00,6/25/2019 0:00,0,TRUE,FORT20,Tree Removal,,,FORT60,Storm Damage,,,,,,,,407,,Brookens,Dr,,,,,20190526,,,12,Residential 1,,
19-000055,999,Complete,ARBFRT,Trees,FRT,Forestry,FOR,Forestry,2,Medium,779.74,0,9,391.8,387.94,0,0,0,1/9/2019 0:00,1/14/2019 0:00,12/26/2018 0:00,12/27/2018 0:00,8,FALSE,FORT20,Tree Removal,,,FORT80,structural failure,,,,,,,51,2207,,Anderson,St,,,,,,,,12,Residential 1,,
18-000295,999,Complete,ARBFRT,Trees,FRT,Forestry,FOR,Forestry,2,Medium,0,0,0,0,0,0,0,0,7/10/2018 0:00,7/13/2018 0:00,7/10/2018 0:00,7/10/2018 0:00,0,FALSE,FORT20,Tree Removal,,,FORT300,disease infestation,,,,,,,14,1305,E,McHenry,St,,,,,,,,12,Residential 1,,
19-000807,999,Complete,SWCOT,Sewer Other Tasks,FRT,Forestry,,,0,Immediate,13457.56,0,171,7831.92,5625.64,0,0,0,6/4/2019 0:00,6/4/2019 0:00,5/26/2019 0:00,5/27/2019 0:00,8,TRUE,SWT34,Debris Removal,,,FORT60,Storm Damage,,,,,,,,,,,,,,,,20190526,,,12,Residential 1,,
19-001253,2,New Work Order,ARBFRT,Trees,FRT,Forestry,FOR,Forestry,2,Medium,0,0,0,0,0,0,0,0,8/13/2019 0:00,8/13/2019 0:00,,,0,FALSE,FORT3,Crown Clean or Dead Wood Prune,,,FORT210,resident concern,,,,,,,,103,E,Highlands,Dr,,,,,,,,21,Residential 10,,
18-001014,999,Complete,ARBFRT,Trees,FRT,Forestry,FOR,Forestry,3,Low,367.38,0,6,214.14,153.24,0,0,0,9/6/2018 0:00,10/17/2018 0:00,,,0,FALSE,FORT20,Tree Removal,,,FORT240,vehicle damage,,,,,,,51,2008,E,Florida,Ave,,,,,,,,22,Residential 11,,
19-000413,999,Complete,ARBFRT,Trees,FRT,Forestry,FOR,Forestry,3,Low,0,0,0,0,0,0,0,0,3/7/2019 0:00,3/7/2019 0:00,3/7/2019 0:00,3/7/2019 0:00,0,FALSE,FORT1,Clearance Prune,,,FORT150,Sidewalk Clearance,,,,,,,14,1407,,Greenridge,Dr,,,,,,,,25,Residential 14,,
18-000558,999,Complete,ARBFRT,Trees,FRT,Forestry,FOR,Forestry,2,Medium,0,0,0,0,0,0,0,0,7/27/2018 0:00,10/8/2018 0:00,8/24/2018 0:00,8/24/2018 0:00,0,FALSE,FORT1,Clearance Prune,,,FORT110,Traffic Clearance,,,,,,,51,2529,,St Andrews,Rd,,,,,,,,25,Residential 14,,
19-001187,999,Complete,ARBFRT,Trees,FRT,Forestry,FOR,Forestry,2,Medium,1547.48,1,26,873.42,674.06,0,0,0,8/6/2019 0:00,8/6/2019 0:00,7/11/2019 0:00,7/11/2019 0:00,0,TRUE,FORT20,Tree Removal,,,FORT60,Storm Damage,,2018  Cottage Grove Ave S,TREESITES2456,,,,,2018,S,Cottage Grove,Ave,,,,,20190526,,,13,Residential 2,,
19-001292,2,New Work Order,ARBFRT,Trees,FRT,Forestry,FOR,Forestry,2,Medium,0,0,0,0,0,0,0,0,8/22/2019 0:00,8/22/2019 0:00,,,0,FALSE,FORT1,Clearance Prune,,,FORT210,resident concern,,,,,,,,901,,Silver,St,,,,,,,,13,Residential 2,,
18-000159,985,Complete Paid,ARBFRT,Trees,FRT,Forestry,FOR,Forestry,1,High,55.77,0,1,55.77,0,0,0,0,6/27/2018 0:00,6/27/2018 0:00,6/27/2001 0:00,6/27/2018 0:00,49672,FALSE,FORT15,Pest Control,,,FORT300,disease infestation,,,,,,,14,6,,Burnett,Cir,,W,Mumford,Dr,,,,13,Residential 2,,
19-001254,2,New Work Order,ARBFRT,Trees,FRT,Forestry,FOR,Forestry,2,Medium,0,0,0,0,0,0,0,0,8/13/2019 0:00,8/13/2019 0:00,,,0,FALSE,FORT20,Tree Removal,,,FORT210,resident concern,,,,,,,,409,,Burkwood,Ct,,,,,,,,13,Residential 2,,
19-001186,999,Complete,ARBFRT,Trees,FRT,Forestry,FOR,Forestry,,,476.01,0,6,201.56,166.45,108,0,0,8/6/2019 0:00,8/6/2019 0:00,6/26/2019 0:00,6/26/2019 0:00,0,TRUE,FORT20,Tree Removal,,,FORT60,Storm Damage,,,,,,,,2012,S,Cottage Grove,Ave,,,,,20190526,,,13,Residential 2,,
19-001043,2,New Work Order,ARBFRT,Trees,FRT,Forestry,FOR,Forestry,2,Medium,0,0,0,0,0,0,0,0,7/24/2019 0:00,7/24/2019 0:00,,,0,FALSE,FORT20,Tree Removal,,,FORT210,resident concern,,,,,,,,1003,S,Race,St,,,,,,,,16,Residential 5,,
19-001121,2,New Work Order,ARBFRT,Trees,FRT,Forestry,FOR,Forestry,1,High,0,0,0,0,0,0,0,0,8/1/2019 0:00,8/1/2019 0:00,,,0,FALSE,FORT3,Crown Clean or Dead Wood Prune,,,FORT300,disease infestation,,,,,,,,1003,S,Race,St,,,,,,,,16,Residential 5,,
19-001042,800,Closed In Field,ARBFRT,Trees,FRT,Forestry,FOR,Forestry,2,Medium,0,0,0,0,0,0,0,0,7/24/2019 0:00,8/26/2019 0:00,7/25/2019 0:00,8/23/2019 0:00,232,FALSE,FORT1,Clearance Prune,,,FORT210,resident concern,,,,,,,51,402,W,Main,St,,,Central,Ave,,,,19,Residential 8,,
19-001176,999,Complete,ARBFRT,Trees,FRT,Forestry,FOR,Forestry,2,Medium,782.95,0,10.5,358.55,388.4,36,0,0,8/5/2019 0:00,8/19/2019 0:00,,,0,FALSE,FORT9,Priority Hazard Tree Abatement,,,FORT210,resident concern,,,,,,,,1010,,Springfield,Ave,,,Harvey,St,,,,19,Residential 8,,
18-002209,999,Complete,ARBFRT,Trees,FRT,Forestry,FOR,Forestry,2,Medium,0,0,0,0,0,0,0,0,12/28/2018 0:00,3/5/2019 0:00,2/22/2019 0:00,2/22/2019 0:00,0,FALSE,FORT1,Clearance Prune,,,FORT120,Building Clearance,,,,,,,51,1210,,Beech,St,,,,,,,,20,Residential 9,,
19-000221,999,Complete,STWW,Winter Weather,OPST,Streets,,,,,6541.44,0,45,1396.41,1736.1,3408.93,0,0,2/7/2019 0:00,2/8/2019 0:00,12/6/2018 0:00,12/6/2018 0:00,0,FALSE,ST36,Salting Streets,STC3,Reactive Maintenance,STP26,Winter Weather Response,,,,EE Crew,Emergency Crew,,,,,,,,,,,,,,,,,
19-000220,999,Complete,STWW,Winter Weather,OPST,Streets,,,,,2397.06,0,16,752.84,670.24,973.98,0,0,2/7/2019 0:00,2/7/2019 0:00,12/5/2018 0:00,12/5/2018 0:00,0,FALSE,ST36,Salting Streets,STC9,Winter Event Snow,STP26,Winter Weather Response,,,,EE Crew,Emergency Crew,,,,,,,,,,,,,,,,,
19-000207,999,Complete,STWW,Winter Weather,OPST,Streets,,,,,1229.94,0,26,878.26,312.65,39.03,0,0,2/6/2019 0:00,2/6/2019 0:00,2/1/2019 0:00,2/1/2019 0:00,0,FALSE,ST38,Sidewalk Snow Removal,STC9,Winter Event Snow,STP26,Winter Weather Response,,,,EE Crew,Emergency Crew,,,,,,,,,,,,,,,,,
19-000206,999,Complete,STWW,Winter Weather,OPST,Streets,,,,,1857.33,0,40,1297.86,315.66,243.81,0,0,2/6/2019 0:00,2/6/2019 0:00,1/28/2019 0:00,1/28/2019 0:00,0,FALSE,ST38,Sidewalk Snow Removal,STC9,Winter Event Snow,STP26,Winter Weather Response,,,,EE Crew,Emergency Crew,,,,,,,,,,,,,,,,,
19-000190,999,Complete,STWW,Winter Weather,OPST,Streets,,,,,2065.85,0,50,1434.12,387.15,244.58,0,0,2/6/2019 0:00,2/6/2019 0:00,1/19/2019 0:00,1/22/2019 0:00,24,FALSE,ST38,Sidewalk Snow Removal,STC9,Winter Event Snow,STP26,Winter Weather Response,,,,EE Crew,Emergency Crew,,,,,,,,,,,,,,,,,
18-000217,999,Complete,STTCON,Controllers,OPSTT,Traffic,STT,Traffic,,,30.26,1,0.5,23.79,6.47,0,0,0,7/3/2018 0:00,12/14/2018 0:00,7/3/2018 0:00,7/3/2018 0:00,0,FALSE,STT25,Record Keeping,STTC1,Systematic Maintenance,STTP30,Check/Inspect Operation,TS1 Type 1,Siemens,11,ELE,FULL ELE CREW,1,,102,,High Cross,,,,,,,,,,,,
18-001611,999,Complete,STT7,Street Lighting,OPSTT,Traffic,STR,Streets,,,30.98,0,0.33,11.79,10.32,8.87,0,0,10/24/2018 0:00,12/14/2018 0:00,10/2/2018 0:00,10/2/2018 0:00,0,FALSE,STT3,Streetlight Relamps,STTC3,Reactive Maintenance,STTP1,Systematic Relamps,,,LIGHTINCONDUIT491,ELE,FULL ELE CREW,1,,,,,,,,,,,,,,,,
18-001278,999,Complete,STT7,Street Lighting,OPSTT,Traffic,STT,Traffic,,,207.52,0,4,150.43,51.72,5.37,0,0,9/27/2018 0:00,4/10/2019 0:00,9/26/2018 0:00,9/26/2018 0:00,0,FALSE,STT12,Streetlight Cable Replacement,STTC3,Reactive Maintenance,STTP17,Unintentional Utility Cut,,,LIGHTINCONDUIT627,ELE,FULL ELE CREW,1,,,,,,,,,,,,,,,,
18-000345,999,Complete,STTSE,Special Events,OPSTT,Traffic,,,,,142.08,0,2,95.16,46.92,0,0,0,7/12/2018 0:00,2/18/2019 0:00,7/12/2018 0:00,7/12/2018 0:00,0,FALSE,STT41,Special Event Electrical Maintenance,STTC3,Reactive Maintenance,STTP12,Replace Deteriorated Component,,,LIGHTINTROLLER80,ELE,FULL ELE CREW,1,,,,,,,,,,,,,,,,
18-000313,999,Complete,STTSE,Special Events,OPSTT,Traffic,,,,,372.44,0,6.5,270.78,101.66,0,0,0,7/11/2018 0:00,2/18/2019 0:00,7/11/2018 0:00,7/11/2018 0:00,0,FALSE,STT41,Special Event Electrical Maintenance,STTC2,Preventive Maintenance,STTP30,Check/Inspect Operation,,,LIGHTINTROLLER80,ELE,FULL ELE CREW,1,,,,,,,,,,,,,,,,
18-000503,999,Complete,STT9,ESDA Sirens,OPSTT,Traffic,STT,Traffic,,,114.6,1,2,83.32,31.28,0,0,0,7/23/2018 0:00,12/17/2018 0:00,7/23/2018 0:00,7/23/2018 0:00,0,FALSE,STT1,Inspection,STTC3,Reactive Maintenance,STTP30,Check/Inspect Operation,Warning Siren,,METROSIRENS17,ELE,FULL ELE CREW,1,,,,,,,,,,,,,,,,
18-001606,999,Complete,STT7,Street Lighting,OPSTT,Traffic,STT,Traffic,,,38.65,0,0.33,11.79,17.61,9.25,0,0,10/24/2018 0:00,12/14/2018 0:00,10/2/2018 0:00,10/2/2018 0:00,0,FALSE,STT3,Streetlight Relamps,STTC3,Reactive Maintenance,STTP1,Systematic Relamps,,,POLES102,ELE,FULL ELE CREW,1,,,,,,,,,,,,,,,,
18-000876,999,Complete,STT3,Pole,OPSTT,Traffic,STT,Traffic,,,42.68,1,0.66,27.49,10.32,4.87,0,0,8/22/2018 0:00,12/17/2018 0:00,8/22/2018 0:00,8/22/2018 0:00,0,FALSE,STT3,Streetlight Relamps,STTC3,Reactive Maintenance,STTP4,Routine Maintenance,,,POLES112,ELE,FULL ELE CREW,1,,,,,,,,,,,,,,,,
18-000179,999,Complete,STTOT,Traffic Other Tasks,OPSTT,Traffic,,,,,105.36,0,1,47.58,31.28,26.5,0,0,6/29/2018 0:00,7/11/2018 0:00,6/29/2018 0:00,6/29/2018 0:00,0,FALSE,STT21,Signal Indication Maintenance,STTC3,Reactive Maintenance,STTP12,Replace Deteriorated Component,,,POLES1183,ELE,FULL ELE CREW,1,,1601,,N. Lincoln,,,,Bradley,,,,,,,,
18-001604,999,Complete,STT7,Street Lighting,OPSTT,Traffic,STT,Traffic,,,38.27,0,0.33,11.79,17.61,8.87,0,0,10/24/2018 0:00,12/14/2018 0:00,10/2/2018 0:00,10/2/2018 0:00,0,FALSE,STT3,Streetlight Relamps,STTC3,Reactive Maintenance,STTP1,Systematic Relamps,,,POLES1460,ELE,FULL ELE CREW,1,,,,,,,,,,,,,,,,
18-000561,999,Complete,STT3,Pole,OPSTT,Traffic,STT,Traffic,,,165.87,1,2.5,118.95,46.92,0,0,0,7/27/2018 0:00,12/17/2018 0:00,7/27/2018 0:00,7/27/2018 0:00,0,FALSE,STT26,School Crossing Signals,STTC1,Systematic Maintenance,STTP4,Routine Maintenance,,,POLES1677,ELE,FULL ELE CREW,1,,,,,,,,,,,,,,,,
18-000551,999,Complete,STT3,Pole,OPSTT,Traffic,STT,Traffic,,,47.32,1,0.6,28.55,18.77,0,0,0,7/26/2018 0:00,12/17/2018 0:00,7/26/2018 0:00,7/26/2018 0:00,0,FALSE,STT26,School Crossing Signals,STTC1,Systematic Maintenance,STTP4,Routine Maintenance,,,POLES1677,ELE,FULL ELE CREW,1,,,,,,,,,,,,,,,,
18-000879,999,Complete,STT3,Pole,OPSTT,Traffic,STT,Traffic,,,46.29,1,0.66,27.49,10.32,8.48,0,0,8/22/2018 0:00,12/17/2018 0:00,8/22/2018 0:00,8/22/2018 0:00,0,FALSE,STT3,Streetlight Relamps,STTC3,Reactive Maintenance,STTP4,Routine Maintenance,,,POLES191,ELE,FULL ELE CREW,1,,,,,,,,,,,,,,,,
18-000557,999,Complete,STT3,Pole,OPSTT,Traffic,STT,Traffic,,,59.14,1,0.75,35.68,23.46,0,0,0,7/27/2018 0:00,12/17/2018 0:00,7/27/2018 0:00,7/27/2018 0:00,0,FALSE,STT26,School Crossing Signals,STTC1,Systematic Maintenance,STTP4,Routine Maintenance,,,POLES2039,ELE,FULL ELE CREW,1,,1736,,E. Florida,,,,,,,,,,,,
18-000113,999,Complete,STT3,Pole,OPSTT,Traffic,STT,Traffic,,,117.71,1,1,47.58,31.28,38.85,0,0,6/26/2018 0:00,12/14/2018 0:00,6/25/2018 0:00,6/25/2018 0:00,0,FALSE,STT21,Signal Indication Maintenance,STTC3,Reactive Maintenance,STTP4,Routine Maintenance,,,POLES2129,ELE,FULL ELE CREW,1,,,,,,,,,,,,,,,,
18-000552,999,Complete,STT3,Pole,OPSTT,Traffic,STT,Traffic,,,94.83,1,1.5,71.37,23.46,0,0,0,7/26/2018 0:00,12/17/2018 0:00,7/26/2018 0:00,7/27/2018 0:00,8,FALSE,STT26,School Crossing Signals,STTC1,Systematic Maintenance,STTP4,Routine Maintenance,,,POLES2284,ELE,FULL ELE CREW,1,,1703,,E. Florida,,,,,,,,,,,,
18-000014,999,Complete,STTOT,Traffic Other Tasks,OPSTT,Traffic,STT,Traffic,,,30.26,0,0.5,23.79,6.47,0,0,0,6/19/2018 0:00,7/11/2018 0:00,7/3/2018 0:00,7/3/2018 0:00,0,FALSE,STT1,Inspection,STTC3,Reactive Maintenance,STTP30,Check/Inspect Operation,,,POLES2444,ELE,FULL ELE CREW,1,,,,,,,,,,,,,,,,
18-001616,999,Complete,STT7,Street Lighting,OPSTT,Traffic,STT,Traffic,,,60.42,0,0.5,17.87,26.69,15.86,0,0,10/24/2018 0:00,12/14/2018 0:00,10/2/2018 0:00,10/2/2018 0:00,0,FALSE,STT3,Streetlight Relamps,STTC3,Reactive Maintenance,STTP1,Systematic Relamps,,,POLES2564,ELE,FULL ELE CREW,1,,,,,,,,,,,,,,,,
18-000550,999,Complete,STT3,Pole,OPSTT,Traffic,STT,Traffic,,,55.21,1,0.7,33.31,21.9,0,0,0,7/26/2018 0:00,12/17/2018 0:00,7/26/2018 0:00,7/26/2018 0:00,0,FALSE,STT26,School Crossing Signals,STTC1,Systematic Maintenance,STTP4,Routine Maintenance,,,POLES2879,ELE,FULL ELE CREW,1,,,,,,,,,,,,,,,,
18-001605,999,Complete,STT7,Street Lighting,OPSTT,Traffic,STT,Traffic,,,38.27,0,0.33,11.79,17.61,8.87,0,0,10/24/2018 0:00,12/14/2018 0:00,10/2/2018 0:00,10/2/2018 0:00,0,FALSE,STT3,Streetlight Relamps,STTC3,Reactive Maintenance,STTP1,Systematic Relamps,,,POLES2914,ELE,FULL ELE CREW,1,,,,,,,,,,,,,,,,
