Work Order Number,Status,Status Text,Category Code,Category Text,Division,Division Text,Department,Department Text,Priority,Priority Text,Total Cost,Quantity,Actual Labor Hours,Actual Labor Cost,Actual Equip Cost,Actual Material Cost,Contractor Cost,Misc. Cost,Creation Date,Status Date,Start Date,End Date,Duration Actual(Hrs),Billing Required,Main Task,Main Task Text,Cause,Cause Text,Problem,Problem Text,Desc 1,Desc 2,Asset,Assigned Crew,Assigned Crew Text,Supervisor,LeadWorker Id,Street Address,Street Direction,Street Name,Street Type,Loc Zip Code,Street 2 Direction,Street 2 Name,Street 2 Type,Project Number,Building Number,Facility Location,Route (Geographic),Route (Geographic) Text,PM Trigger,PM Trigger Text
18-000247,999,Complete,FM6000,Building,FAC,Facilities,8,Public Works,1,High,143.29,0,2,68.29,0,0,75,0,7/6/2018 0:00,7/13/2018 0:00,7/6/2018 0:00,7/9/2018 0:00,24,FALSE,FACT012,Pest Control,FACC1,Service Request,FACP999,New Internal Facilities Request,Lanscape Recycling Center Shop,911  Smith,LRC_SHOP,,,,59,911,,Smith,,,,,,,10,LRC Shop,,,,
18-001540,999,Complete,STT9,ESDA Sirens,OPSTT,Traffic,STT,Traffic,,,44.23,1,0.66,23.59,20.64,0,0,0,10/23/2018 0:00,12/14/2018 0:00,9/28/2018 0:00,9/28/2018 0:00,0,FALSE,STT27,ESDA Sirens Maintenance,STTC3,Reactive Maintenance,STTP30,Check/Inspect Operation,,,METROSIRENS14,,,,,,,,,,,,,,,,,,,
18-000947,999,Complete,STT9,ESDA Sirens,OPSTT,Traffic,STT,Traffic,,,85.94,1,1.5,62.48,23.46,0,0,0,8/28/2018 0:00,12/17/2018 0:00,8/28/2018 0:00,8/28/2018 0:00,0,FALSE,STT27,ESDA Sirens Maintenance,STTC3,Reactive Maintenance,STTP30,Check/Inspect Operation,,,METROSIRENS14,,,,,,,,,,,,,,,,,,,
18-000036,999,Complete,STT9,ESDA Sirens,OPSTT,Traffic,STT,Traffic,,,176.9,1,3,124.98,46.92,5,0,0,6/20/2018 0:00,12/14/2018 0:00,6/20/2018 0:00,6/20/2018 0:00,0,FALSE,STT27,ESDA Sirens Maintenance,STTC3,Reactive Maintenance,STTP30,Check/Inspect Operation,Warning Siren,@ Wiley School,METROSIRENS16,,,2,,,,@ Wiley School,,,,,,,,,,,,
18-001168,999,Complete,STT9,ESDA Sirens,OPSTT,Traffic,STT,Traffic,,,33.51,1,0.5,17.87,15.64,0,0,0,9/21/2018 0:00,12/17/2018 0:00,9/11/2018 0:00,9/11/2018 0:00,0,FALSE,STT27,ESDA Sirens Maintenance,STTC3,Reactive Maintenance,STTP30,Check/Inspect Operation,Warning Siren,,METROSIRENS17,,,,,,,,,,,,,,,,,,,
18-001538,999,Complete,STT9,ESDA Sirens,OPSTT,Traffic,STT,Traffic,,,44.23,1,0.66,23.59,20.64,0,0,0,10/23/2018 0:00,12/14/2018 0:00,9/28/2018 0:00,9/28/2018 0:00,0,FALSE,STT27,ESDA Sirens Maintenance,STTC3,Reactive Maintenance,STTP30,Check/Inspect Operation,,,METROSIRENS3,,,,,,,,,,,,,,,,,,,
18-001442,999,Complete,STT9,ESDA Sirens,OPSTT,Traffic,STT,Traffic,,,44.23,1,0.66,23.59,20.64,0,0,0,10/11/2018 0:00,12/17/2018 0:00,9/28/2018 0:00,9/28/2018 0:00,0,FALSE,STT27,ESDA Sirens Maintenance,STTC3,Reactive Maintenance,STTP30,Check/Inspect Operation,,,METROSIRENS3,,,,,,,,,,,,,,,,,,,
18-000949,999,Complete,STT9,ESDA Sirens,OPSTT,Traffic,STT,Traffic,,,85.94,1,1.5,62.48,23.46,0,0,0,8/28/2018 0:00,12/17/2018 0:00,8/28/2018 0:00,8/28/2018 0:00,0,FALSE,STT27,ESDA Sirens Maintenance,STTC3,Reactive Maintenance,STTP30,Check/Inspect Operation,,,METROSIRENS3,,,,,,,,,,,,,,,,,,,
19-000243,999,Complete,STT9,ESDA Sirens,OPSTT,Traffic,STT,Traffic,,,167.55,1,2.5,89.35,78.2,0,0,0,2/8/2019 0:00,2/18/2019 0:00,12/7/2018 0:00,12/7/2018 0:00,0,FALSE,STT27,ESDA Sirens Maintenance,STTC3,Reactive Maintenance,STTP12,Replace Deteriorated Component,Warning Siren,,METROSIRENS8,,,,,,,,,,,,,,,,,,,
19-000231,999,Complete,STT9,ESDA Sirens,OPSTT,Traffic,STT,Traffic,,,67.02,1,1,35.74,31.28,0,0,0,2/8/2019 0:00,2/18/2019 0:00,12/4/2018 0:00,12/4/2018 0:00,0,FALSE,STT27,ESDA Sirens Maintenance,STTC3,Reactive Maintenance,STTP30,Check/Inspect Operation,Warning Siren,,METROSIRENS8,,,,,,,,,,,,,,,,,,,
19-000234,999,Complete,STT9,ESDA Sirens,OPSTT,Traffic,STT,Traffic,,,125.09,1,3.5,125.09,0,0,0,0,2/8/2019 0:00,2/18/2019 0:00,12/5/2018 0:00,12/5/2018 0:00,0,FALSE,STT46,Meetings,STTC3,Reactive Maintenance,EX99,Other (Anything Else!),Warning Siren,,METROSIRENS8,,,,,,,,,,,,,,,,,,,
18-001547,2,New Work Order,STT3,Pole,,,STT,Traffic,,,0,1,0,0,0,0,0,0,10/23/2018 0:00,10/23/2018 0:00,,,0,FALSE,,,,,,,,,POLES10186,,,,,,,,,,,,,,,,,,,
18-001720,999,Complete,STT3,Pole,OPSTT,Traffic,STR,Streets,,,105.87,1,1,35.74,31.28,38.85,0,0,10/28/2018 0:00,12/14/2018 0:00,11/6/2018 0:00,11/6/2018 0:00,0,FALSE,STT21,Signal Indication Maintenance,STTC3,Reactive Maintenance,STTP11,Bad Component,,,POLES1084,,,,,,,,,,,,,,,,,,,
19-000856,999,Complete,STT7,Street Lighting,OPSTT,Traffic,STT,Traffic,,,1385.65,0,16,630,695.81,59.84,0,0,6/14/2019 0:00,7/25/2019 0:00,6/14/2019 0:00,6/14/2019 0:00,0,FALSE,STT8,Pole Installation,STTC3,Reactive Maintenance,STTP3,Vehicle Accident,,,POLES1092,,,,,,,,,,,,,,,,,,,
19-000849,800,Closed In Field,STT7,Street Lighting,OPSTT,Traffic,STT,Traffic,,,607.14,0,6,236.25,370.89,0,0,0,6/14/2019 0:00,6/14/2019 0:00,6/12/2019 0:00,6/12/2019 0:00,0,FALSE,STT99,Replace,STTC3,Reactive Maintenance,STTP3,Vehicle Accident,,,POLES1092,,,,,,,,,,,,,,,,,,,
18-000884,999,Complete,STT3,Pole,OPSTT,Traffic,STT,Traffic,,,54.9,1,0.66,27.49,10.32,17.09,0,0,8/22/2018 0:00,12/17/2018 0:00,8/22/2018 0:00,8/22/2018 0:00,0,FALSE,STT3,Streetlight Relamps,STTC3,Reactive Maintenance,STTP4,Routine Maintenance,,,POLES1116,,,,,,,,,,,,,,,,,,,
18-001151,999,Complete,STT7,Street Lighting,OPSTT,Traffic,STT,Traffic,,,39.2,0,0.33,11.79,10.32,17.09,0,0,9/21/2018 0:00,12/17/2018 0:00,9/10/2018 0:00,9/10/2018 0:00,0,FALSE,STT3,Streetlight Relamps,STTC3,Reactive Maintenance,STTP1,Systematic Relamps,,,POLES1125,,,,,,,,,,,,,,,,,,,
18-001602,999,Complete,STT7,Street Lighting,OPSTT,Traffic,STT,Traffic,,,38.34,0,0.33,11.79,10.32,16.23,0,0,10/23/2018 0:00,12/14/2018 0:00,10/2/2018 0:00,10/2/2018 0:00,0,FALSE,STT3,Streetlight Relamps,STTC3,Reactive Maintenance,STTP1,Systematic Relamps,,,POLES1225,,,,,,,,,,,,,,,,,,,
18-001366,999,Complete,STT7,Street Lighting,OPSTT,Traffic,STT,Traffic,,,22.11,0,0.33,11.79,10.32,0,0,0,10/6/2018 0:00,12/17/2018 0:00,9/25/2018 0:00,9/25/2018 0:00,0,FALSE,STT3,Streetlight Relamps,STTC3,Reactive Maintenance,STTP1,Systematic Relamps,,,POLES1338,,,,,,,,,,,,,,,,,,,
18-000831,999,Complete,STT3,Pole,OPSTT,Traffic,STT,Traffic,,,52.43,1,0.66,27.49,10.32,14.62,0,0,8/21/2018 0:00,12/14/2018 0:00,8/21/2018 0:00,8/21/2018 0:00,0,FALSE,STT3,Streetlight Relamps,STTC3,Reactive Maintenance,STTP4,Routine Maintenance,,,POLES1338,,,,,,,,,,,,,,,,,,,
18-001353,999,Complete,STT7,Street Lighting,OPSTT,Traffic,STT,Traffic,,,101.87,0,0.5,17.87,15.64,68.36,0,0,10/6/2018 0:00,12/17/2018 0:00,9/24/2018 0:00,9/24/2018 0:00,0,FALSE,STT3,Streetlight Relamps,STTC3,Reactive Maintenance,STTP5,Streetlight Out,,,POLES1352,,,,,,,,,,,,,,,,,,,
18-000812,999,Complete,STTOT,Traffic Other Tasks,OPSTT,Traffic,,,,,34.44,0,0.5,18.8,15.64,0,0,0,8/20/2018 0:00,12/17/2018 0:00,8/20/2018 0:00,8/20/2018 0:00,0,FALSE,STT3,Streetlight Relamps,STTC3,Reactive Maintenance,STTP5,Streetlight Out,,,POLES1415,,,,,,,,,,,,,,,,,,,
